"date","hub_id","product_id","quantity_issued"
2021 Oct,"hub_16","product_2",1389
2021 Nov,"hub_16","product_2",1230
2021 Dec,"hub_16","product_2",920
2022 Jan,"hub_16","product_2",1e-06
2022 Feb,"hub_16","product_2",1110
2022 Mar,"hub_16","product_2",790
2022 Apr,"hub_16","product_2",1e-06
2022 May,"hub_16","product_2",70
2022 Jun,"hub_16","product_2",460
2022 Jul,"hub_16","product_2",1e-06
2022 Aug,"hub_16","product_2",300
2022 Sep,"hub_16","product_2",470
2022 Oct,"hub_16","product_2",1240
2022 Nov,"hub_16","product_2",640
2022 Dec,"hub_16","product_2",3200
2023 Jan,"hub_16","product_2",1101
2023 Feb,"hub_16","product_2",1400
2023 Mar,"hub_16","product_2",4000
2023 Apr,"hub_16","product_2",300
2023 May,"hub_16","product_2",1600
2023 Jun,"hub_16","product_2",100
2017 Jul,"hub_16","product_5",1e-06
2017 Aug,"hub_16","product_5",1180
2017 Sep,"hub_16","product_5",1892
2017 Oct,"hub_16","product_5",108
2017 Nov,"hub_16","product_5",1e-06
2017 Dec,"hub_16","product_5",415
2018 Jan,"hub_16","product_5",1585
2018 Feb,"hub_16","product_5",2536
2018 Mar,"hub_16","product_5",2743
2018 Apr,"hub_16","product_5",3545
2018 May,"hub_16","product_5",3852
2018 Jun,"hub_16","product_5",17884
2018 Jul,"hub_16","product_5",420
2018 Aug,"hub_16","product_5",1157
2018 Sep,"hub_16","product_5",3235
2018 Oct,"hub_16","product_5",764
2018 Nov,"hub_16","product_5",1e-06
2018 Dec,"hub_16","product_5",2400
2019 Jan,"hub_16","product_5",1121
2019 Feb,"hub_16","product_5",1459
2019 Mar,"hub_16","product_5",1340
2019 Apr,"hub_16","product_5",750
2019 May,"hub_16","product_5",2459
2019 Jun,"hub_16","product_5",2092
2019 Jul,"hub_16","product_5",350
2019 Aug,"hub_16","product_5",641
2019 Sep,"hub_16","product_5",1e-06
2019 Oct,"hub_16","product_5",6163
2019 Nov,"hub_16","product_5",6055
2019 Dec,"hub_16","product_5",10828
2020 Jan,"hub_16","product_5",18416
2020 Feb,"hub_16","product_5",6233
2020 Mar,"hub_16","product_5",5436
2020 Apr,"hub_16","product_5",13693
2020 May,"hub_16","product_5",35655
2020 Jun,"hub_16","product_5",20732
2020 Jul,"hub_16","product_5",4074
2020 Aug,"hub_16","product_5",19382
2020 Sep,"hub_16","product_5",1026
2020 Oct,"hub_16","product_5",7977
2020 Nov,"hub_16","product_5",648
2020 Dec,"hub_16","product_5",21051
2021 Jan,"hub_16","product_5",15675
2021 Feb,"hub_16","product_5",5238
2021 Mar,"hub_16","product_5",9550
2021 Apr,"hub_16","product_5",14967
2021 May,"hub_16","product_5",6075
2021 Jun,"hub_16","product_5",28537
2021 Jul,"hub_16","product_5",695
2021 Aug,"hub_16","product_5",16945
2021 Sep,"hub_16","product_5",13059
2021 Oct,"hub_16","product_5",25678
2021 Nov,"hub_16","product_5",8100
2021 Dec,"hub_16","product_5",16707
2022 Jan,"hub_16","product_5",360
2022 Feb,"hub_16","product_5",14085
